Model,Feature Cnt,CV Logloss,Calib Logloss,Calib Miss,Cum Miss 0-1%,Cum Miss 0-2%,Cum Miss 0-3%,Cum Miss 0-4%,Cum Miss 0-5%,Cum Cnt 0-1%,Cum Cnt 0-2%,Cum Cnt 0-3%,Cum Cnt 0-4%,Cum Cnt 0-5%,Acc 0-1%,Acc 0-2%,Acc 0-3%,Acc 0-4%,Acc 0-5%,Rank
ID1,33,0.2785,0.2338,3,1,25,81,135,201,128,1379,3050,4467,5870,1,0.980015987,0.966487133,0.96189132,0.952957947,38
ID2,32,0.2734,0.2419,2,2,24,79,135,201,89,1227,2882,4463,5829,0.988764,0.979789,0.966767,0.964579,0.951684,34
ID3,31,0.2877,0.2317,3,3,28,79,143,200,178,1472,3055,4641,5936,0.988764,0.979907,0.967783,0.959647,0.955985,42
ID6,28,0.274,0.238,5,3,32,97,147,208,346,1629,3226,4760,6106,0.99422,0.976617,0.959299,0.967405,0.954681,37
ID7,27,0.2759,0.2364,1,1,19,65,118,183,23,971,2703,4239,5657,1,0.979958,0.973441,0.965495,0.954161,21
ID8,26,0.2822,0.2388,4,2,27,75,135,180,130,1344,2930,4461,5796,0.992308,0.978583,0.969735,0.96081,0.966292,47
ID9,25,0.2745,0.2427,1,1,6,44,111,163,1,460,2141,3874,5338,1,0.986928,0.977394,0.961339,0.964481,2
ID10,24,0.2756,0.2394,3,3,24,68,127,195,131,1254,2887,4457,5925,0.984733,0.98041,0.973056,0.96242,0.953678,45
ID12,22,0.2686,0.2415,1,1,19,67,128,187,46,1067,2672,4247,5739,1,0.981391,0.970093,0.96127,0.960456,18
ID13,21,0.2739,0.2416,2,1,22,65,121,191,18,969,2615,4130,5654,1,0.976866,0.973876,0.963036,0.954068,30
ID14,20,0.2815,0.2351,6,5,40,87,150,210,319,1752,3239,4639,5959,0.987461,0.974878,0.968393,0.955,0.954545,40
ID15,19,0.2692,0.245,2,1,19,59,124,185,39,935,2650,4333,5842,1,0.978795,0.976676,0.961378,0.959576,29
ID16,18,0.2835,0.2433,1,1,11,52,102,176,3,603,2223,3869,5468,1,0.981667,0.974691,0.969623,0.953721,16
ID17,17,0.275,0.2368,2,1,23,77,130,184,75,1223,2841,4296,5700,1,0.979965,0.966625,0.963574,0.961538,28
ID18,16,0.2698,0.246,1,1,13,58,116,173,13,771,2480,4112,5439,1,0.98285,0.973669,0.964461,0.957046,15
ID19,15,0.279,0.2433,3,2,16,59,118,179,23,792,2478,4043,5583,0.956522,0.980494,0.974496,0.9623,0.96039,46
ID20,14,0.2861,0.2452,1,1,10,66,124,183,41,898,2607,4234,5649,1,0.988331,0.967232,0.964352,0.958304,5
ID21,13,0.2677,0.2419,6,7,35,85,145,202,260,1488,3077,4566,5875,0.976923,0.976384,0.968534,0.959704,0.956455,43
ID23,11,0.2871,0.2425,1,1,15,70,113,184,76,1010,2639,4151,5530,1,0.98394,0.966237,0.971561,0.948513,3
ID24,10,0.2757,0.2373,5,8,36,88,136,192,336,1656,3104,4475,5825,0.979167,0.97803,0.964088,0.964989,0.958519,36
ID25,9,0.2674,0.2407,3,2,35,86,126,192,147,1338,2932,4306,5703,0.993197,0.971453,0.968005,0.970888,0.952756,39
ID26,8,0.2649,0.2376,6,12,46,86,149,210,510,1856,3236,4609,5906,0.978431,0.973997,0.971014,0.954115,0.952968,26
ID27,7,0.2737,0.2326,6,14,64,126,187,246,932,2387,3802,5124,6354,0.986052,0.964948,0.956184,0.953858,0.952033,23
ID28,6,0.2778,0.2514,1,1,12,62,117,179,3,597,2609,4111,5342,1,0.979798,0.975149,0.963382,0.949634,1
ID29,5,0.2813,0.2485,2,1,17,68,121,188,7,740,2688,4145,5430,1,0.976808,0.973819,0.963624,0.94786,24
ID30,33,0.2785,0.2338,5,3,29,88,138,194,138,1405,3053,4487,5884,0.985507,0.97869,0.964199,0.965132,0.959914,50
ID32,31,0.283,0.2341,5,4,36,88,149,207,253,1645,3239,4692,6008,0.988142,0.976293,0.967378,0.958018,0.955927,44
ID33,30,0.2657,0.2437,1,1,16,58,126,191,15,910,2644,4277,5703,1,0.982123,0.975779,0.958359,0.954418,20
ID34,29,0.281,0.2434,1,1,8,45,99,170,1,480,2030,3707,5267,1,0.983299,0.976129,0.9678,0.954487,11
ID35,28,0.2762,0.2397,1,1,15,61,113,176,3,767,2458,4051,5466,1,0.980366,0.972797,0.967357,0.955477,22
ID36,27,0.289,0.2458,1,1,8,51,109,164,13,545,2285,3818,5263,1,0.984962,0.975287,0.962166,0.961938,10
ID37,26,0.2706,0.2449,4,3,22,80,138,202,120,1217,2930,4474,5856,0.983333,0.981768,0.966141,0.962435,0.95369,49
ID38,25,0.2718,0.2433,4,3,26,78,141,203,133,1410,3010,4489,5926,0.984962,0.981206,0.9675,0.957404,0.956855,48
ID39,24,0.2963,0.2456,1,1,8,57,117,171,2,520,2297,3977,5392,1,0.984556,0.972425,0.964286,0.961837,12
ID41,22,0.2754,0.2451,1,1,23,88,143,206,94,1143,2876,4513,5872,1,0.978074,0.962493,0.966402,0.953642,14
ID43,20,0.2743,0.2396,1,1,13,52,115,173,4,751,2480,4141,5590,1,0.982597,0.977444,0.962071,0.959972,17
ID44,19,0.2711,0.2457,1,1,19,63,118,176,8,945,2623,4156,5603,1,0.979723,0.973778,0.964123,0.959917,19
ID45,18,0.2683,0.2377,1,1,25,73,133,206,109,1356,3027,4597,5965,1,0.979952,0.971275,0.961783,0.946637,8
